"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2018","7,065.9","8,656.1","8,799.0","6,700.0","4.74K","-18.32%"
"Feb 04, 2018","8,650.2","9,528.3","9,800.0","8,300.0","2.47K","-9.22%"
"Feb 03, 2018","9,528.3","9,162.2","9,858.2","8,500.1","2.00K","4.00%"
"Feb 02, 2018","9,162.2","9,318.0","9,500.0","7,651.0","4.61K","-1.67%"
"Feb 01, 2018","9,318.0","10,715.0","10,721.2","8,368.8","3.08K","-13.04%"
"Jan 31, 2018","10,715.0","10,715.9","10,902.5","10,258.7","1.50K","-0.18%"
"Jan 30, 2018","10,734.0","11,774.3","11,821.7","10,501.0","2.08K","-8.84%"
"Jan 29, 2018","11,774.3","12,105.2","12,200.0","11,571.0","1.07K","-2.73%"
"Jan 28, 2018","12,105.2","11,857.9","12,299.9","11,750.0","1.00K","2.09%"
"Jan 27, 2018","11,857.9","11,721.1","12,098.7","11,500.0","1.25K","1.17%"
"Jan 26, 2018","11,721.1","11,709.9","12,188.0","10,955.0","1.72K","0.10%"
"Jan 25, 2018","11,709.9","12,088.0","12,348.0","11,608.3","1.32K","-3.22%"
"Jan 24, 2018","12,100.0","11,581.9","12,150.0","11,250.0","1.63K","4.47%"
"Jan 23, 2018","11,581.9","11,608.9","12,130.6","10,661.2","1.81K","-0.23%"
"Jan 22, 2018","11,608.9","12,315.2","12,799.8","10,830.6","1.81K","-5.74%"
"Jan 21, 2018","12,315.2","13,591.7","13,591.7","11,964.0","1.65K","-9.39%"
"Jan 20, 2018","13,591.7","12,251.9","13,780.5","12,239.0","1.37K","10.94%"
"Jan 19, 2018","12,251.9","11,965.6","12,700.0","11,621.9","1.42K","2.39%"
"Jan 18, 2018","11,965.6","11,800.0","12,740.0","11,400.0","3.01K","1.40%"
"Jan 17, 2018","11,800.0","11,975.0","12,490.0","9,653.7","5.02K","-1.46%"
"Jan 16, 2018","11,975.0","14,734.7","14,734.7","10,013.7","5.54K","-18.73%"
"Jan 15, 2018","14,734.7","14,855.9","15,255.3","14,602.2","0.94K","-0.82%"
"Jan 14, 2018","14,855.9","15,360.0","15,519.5","14,550.0","0.85K","-3.28%"
"Jan 13, 2018","15,360.0","15,190.0","15,670.0","15,096.5","0.88K","1.68%"
"Jan 12, 2018","15,106.3","14,554.5","15,498.3","14,261.6","1.09K","3.79%"
"Jan 11, 2018","14,554.5","16,250.8","16,300.0","14,260.1","2.37K","-10.52%"
"Jan 10, 2018","16,265.6","15,958.5","16,276.5","14,678.4","1.87K","1.92%"
"Jan 09, 2018","15,959.6","16,663.7","17,130.0","15,741.5","1.49K","-4.54%"
"Jan 08, 2018","16,719.0","17,687.2","17,830.0","15,775.7","1.98K","-5.60%"
"Jan 07, 2018","17,710.8","18,253.8","18,365.0","17,350.0","1.15K","-3.35%"
"Jan 06, 2018","18,324.8","18,196.5","18,365.3","17,511.6","1.30K","0.92%"
"Jan 05, 2018","18,157.2","16,238.6","18,370.9","16,060.2","2.20K","12.05%"
"Jan 04, 2018","16,204.1","16,041.0","16,300.0","15,500.0","1.66K","1.02%"
"Jan 03, 2018","16,041.0","16,010.0","16,554.7","15,487.5","1.74K","-0.49%"
"Jan 02, 2018","16,120.0","15,317.1","16,667.0","14,674.0","1.93K","5.75%"
"Jan 01, 2018","15,242.8","15,473.7","15,594.0","14,551.3","1.36K","-1.49%"
"Dec 31, 2017","15,473.7","14,040.1","15,878.4","13,767.2","2.07K","9.92%"
"Dec 30, 2017","14,077.0","15,053.8","15,245.0","13,501.3","2.85K","-6.97%"
"Dec 29, 2017","15,131.6","15,899.8","16,300.0","14,620.3","1.94K","-4.70%"
"Dec 28, 2017","15,878.0","17,094.4","17,161.7","15,500.0","2.34K","-6.84%"
"Dec 27, 2017","17,044.1","17,250.0","17,750.0","16,307.0","2.12K","-1.31%"
"Dec 26, 2017","17,269.7","15,756.0","17,760.0","15,705.9","2.73K","9.04%"
"Dec 25, 2017","15,838.1","16,044.9","16,196.3","15,180.9","2.14K","-1.66%"
